曲线开始时间: ,,,Thu Apr 16 04:09:01 2009,,,,,,,,
,,,,,,,,,,,
产品名称: ,,,Reflow Demo,,,,,,,,
制程界限名称: ,,,System Default,,,,,,,,
炉子名称: ,,,8 Zone Oven,,,,,,,,
制程界限描述: ,,,Enter your Process Spec description here...,,,,,,,,
炉子食谱名称: ,,,,,,,,,,,
温度曲线描述: ,,,Maximize Conveyor Speed (Actual),,,,,,,,
产品长度 (英寸): ,,,0,,,,,,,,
产品阔度 (英寸): ,,,0,,,,,,,,
产品重量 (克): ,,,0,,,,,,,,
传送带速度单位: ,,,英寸/分,,,,,,,,
温度标度: ,,,摄氏度,,,,,,,,
SetpointAlignmentMethod=0,,,PercentageOfProfileToLookForFirstZone=33,,,,,,,,
MaxSlopeWidthInPointsToAlignSetpoints=5,,,,,MinFirstSetpointPosition=0.0,,,,,MaxFirstSetpointPosition=25.0,
fAirTCPeakShouldBeTheHottestByAtleastThisManyDegrees=5.0,,,,,fAirTCIncreasedByThisManyDegrees=0.0,,,,,,
fReportAnErrorIfAirTCPeakIsCoolerByMoreThanThisManyDegrees=10.0,,,,,,,,,,,
,,,,,,,,,,,
固化界限大小(秒)= 60,,,,固化界限大小(度)=6.0,,,,,温度曲线种类:锡膏回流,,
"有效热电偶=2, 3, 4, ",,,炉子长度=171.42,,,温区设定数量=8,,,,,
,,,,,,,,,,,
曲线最佳化设置:,,,,,,,,,,,
,允许温区温度变化=1,,,,,,,,,,
,允许传送带速度变化=1,,,,最低传送带速度=5.0,,,,最高传送带速度=60.0,,
,Navigator 计算方式= 最低化制程界限指数(PWI),,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
温区,,,1,2,3,4,5,6,7,8,
,,,,,,,,,,,
温区设定位置: ,,,,,,,,,,,
相关温区阔度: ,,,12,12,12,12,12,12,12,10,
最高温区温度设定: ,,,300,300,300,300,300,300,300,300,
最低温区温度设定: ,,,70,70,70,70,70,70,70,70,
,,,,,,,,,,,
低部上升温区之间的最大设定差异: ,,,100,100,100,100,100,100,100,,
上升温区的最大设定差异: ,,,60,60,60,60,60,60,60,,
上升温区的最大设定差异比率: ,,,1,1,1,1,1,1,1,,
最高上升斜率拦截: ,,,0.4,-20,,,,,,,
,,,,,,,,,,,
下区温度下降的最大温区设定差异: ,,,,100,100,100,100,100,100,100,
下降温区的最高温度设定差异: ,,,,50,50,50,50,50,50,50,
下降温区的温度设定最大差异比率: ,,,,1,1,1,1,1,1,1,
最高下降斜率拦截: ,,,,0.3,-20,,,,,,
,,,,,,,,,,,
下区的最大山谷区温度设定最大差异: ,,,,100,100,100,100,100,100,,
最高山谷区的温度设定差异: ,,,,50,50,50,50,50,50,,
山谷区的温度设定差异比率: ,,,,2.5,2.5,2.5,2.5,2.5,2.5,,
最高山谷区斜率拦截: ,,,,0,-20,,,,,,
,,,,,,,,,,,
上温区设定:,,,,,,,,,,,
下温区设定:,,,,,,,,,,,
,,,,,,,,,,,
原本平均温度设定: ,,,,,,,,,,,
新的平均温度设定:,,,KIC 软件钥匙还没接上计算机,,,,,,,,
传送带速度,,,,,,,,,,,
,,,,,,,,,,,
BL PWI,,,76.45%,,,,,,,,
,,,,,,,,,,,
统计数字:,,,TC-2,TC-3,,,,,,,
最高上升斜率,,,1.91,1.77,,,,,,,
恒温时间,,,68.61,72.63,,,,,,,
回流时间,,,48.53,54.73,,,,,,,
最高温度 ,,,247.14,249.28,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
